Incident Number,Priority,Resolving_Group,assignment_group_id,Resolving_group_id,open_date,Resolution Code,Configuration Item,Application Name,Application_Service_Owner,description,App Inst Comments,Open_month_year
IN31489835,Priority-4,HBAR-SWD-RBWM-CRM,6A16A29384BE11E59D9210000000C957,6A16A29384BE11E59D9210000000C957,1479911695,-,DISCOVER-AR,DISCOVER,Patricia V BARROSO,,-,Nov-2016
IN31490190,Priority-4,HBAR-ITO-ET-DATABASE,52CF18404BBE11E38B6B10000000C959,52CF18404BBE11E38B6B10000000C959,1479913063,-,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"072 Sante fe san martin 2399 int 164
discover error, luego busqueda de cliente por dni cualquiera , al abrir el cliente en vez de que se abran los oproductos, tira error de pagina  404",-,Nov-2016
IN31490282,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479913317,UnClassified.Duplicate Ticket,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"El usuario se comunica informando que presenta inconvenientes con el sistema DISCOVER

Noelia S.",-,Nov-2016
IN31490305,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479913395,UnClassified.Duplicate Ticket,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31490520,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479914213,UnClassified.Duplicate Ticket,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"Suc: (053) Concepcion de Tucuman

El usuario se comunica informando que presenta inconvenientes con el sistema DISCOVER

Noelia S.",-,Nov-2016
IN31490628,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479914670,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31490649,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479914775,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31491103,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479916198,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31491314,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479917118,UnClassified.Advice Given to User,DISCOVER-AR,DISCOVER,Patricia V BARROSO,problemas en discover,-,Nov-2016
IN31491569,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479917949,UnClassified.Duplicate Ticket,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"Suc: (658) Plaza Pringles Rosario

El usuario se comunica informando que presenta inconvenientes con el sistema DISCOVER

Noelia S.",-,Nov-2016
IN31492637,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479922917,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31492786,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479923978,UnClassified.Advice Given to User,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"suc 660 rio cuarto

Discover",-,Nov-2016
IN31493355,Priority-5,HTSE-Anenv,E80152A1790411DDA73710000000C959,E80152A1790411DDA73710000000C959,1479927843,-,ANENV,GIS SAS Point of Presence,Stuart ANDERSON,GCC : The home filesystem is now 98.45 percent full,-,Nov-2016
IN31493669,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479930555,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHISP10 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4fvru (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31494323,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479936161,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31494337,Priority-4,HBAR-ITO-CS-HELP-DESK,DD603DFE93FF11E3B44A10000000C959,DD603DFE93FF11E3B44A10000000C959,1479936762,Assisted User,DISCOVER-AR,DISCOVER,Patricia V BARROSO,"43854256
Discover reclamo gral",-,Nov-2016
IN31494595,Priority-3,HTSE-CSS-Windows-Server-Support,1B82B6362B3E11DFB41810000000C959,1B82B6362B3E11DFB41810000000C959,1479938623,Server.Healthcheck Performed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,SVTM052I NDM PROCESS LDUCXMI2 FAILED - XMTNDMS,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31494635,Priority-3,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479938882,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,GCC : EQQE036I OPC1 OPC JOB LCAPCCST ENDED WITH ERROR CODE U010,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31494911,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479940858,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHPCD07 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4i3lc (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31494912,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479940861,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHPCD35 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4i3lr (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31496269,Priority-2,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479952364,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHPGD05 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4hui4 (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31498785,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1479966104,Security.Account Reset,HUBDOH,HUB Sales Solutions,Sumit KALE,,"Naveen1 SHARMA, 05-May-2016 at 04:08: ConfirmedFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31499964,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479970544,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31500116,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479971067,Application/System Job resubmitted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHDQW01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4i0ks (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31500305,Priority-4,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479971774,Batch Completed,HOSTINF,Historical Audit,Sathyanarayanan SAMPATH,GCC : IEF099I LACCAGTG HAS BEEN WAITING FOR LACC.BLQSAM.BMM.ENTS.FINAL WHICH IS HELD BY TNLPWF For 15 MINUTES},"This may be replaced in the future when R2DS has an appropriate capability, which it currently does not.",Nov-2016
IN31500388,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479972107,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31500950,Priority-4,HTSE-Anenv,E80152A1790411DDA73710000000C959,E80152A1790411DDA73710000000C959,1479974141,-,ANENV,GIS SAS Point of Presence,Stuart ANDERSON,,-,Nov-2016
IN31501036,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1479974431,Password Reset,HUBDOH,HUB Sales Solutions,Sumit KALE,,"Naveen1 SHARMA, 05-May-2016 at 04:08: ConfirmedFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31501351,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1479975326,Password Reset,HUBHKE,HUB Sales Solutions,Sumit KALE,,FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31501989,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479977212,Processing.Data fixed,SAMS,Sales and Marketing System,Rob KELLAWAY,GCC : EQQE036I JOB L S A M U 2 6 9 ENDED with error CODE U3E7,"43200955, 27-Nov-2015 at 13:43: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31502273,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479978050,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31502438,Priority-2,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479978421,UnClassified.Duplicate Ticket,NEWLEDG,New Ledger Currency Accounts Information System,Sathyanarayanan SAMPATH,GCC : CSS999E +CSS999E L69FAICK HAS FAILED L69FAICK JOB19241,-,Nov-2016
IN31503138,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1479980338,Password Reset,HUBDOH,HUB Sales Solutions,Sumit KALE,,"Naveen1 SHARMA, 05-May-2016 at 04:08: ConfirmedFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31503456,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479981173,Cancelled,SAMS,Sales and Marketing System,Rob KELLAWAY,GCC : EQQE036I JOB L S A M U 4 7 0 ENDED with error CODE U3E7,"43200955, 27-Nov-2015 at 13:43: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31503487,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479981241,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31504658,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1479984413,Data Backout,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHOCPL36 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4i47s (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31504900,Priority-4,HTSE-CARM-Dev,EB13DC0E790411DD8D8910000000C959,EB13DC0E790411DD8D8910000000C959,1479985188,Application Patch Applied,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31505704,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479988030,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,"CIN 0919138292
The customer's address on CSM shows in the wrong format, user believes it has been set up incorrectly on HUB. It should be set up as the following:
3 Moor Road
Stanley
Wakefield
W3 4EH","Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31505756,Priority-4,HTS-GHD-Password-Reset,C4D4FCD0BDFF11E1A85D10000000C959,C4D4FCD0BDFF11E1A85D10000000C959,1479988256,Password Reset,HUBDOH,HUB Sales Solutions,Sumit KALE,,"Naveen1 SHARMA, 05-May-2016 at 04:08: ConfirmedFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31505796,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479988401,Restarted Service / Server,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,GCC : CDU0005E DUASPAVL 0005 SERVICE INHIBITED: CN FDM,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31506128,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479989553,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31506389,Priority-4,HBFR-ITO-HELPDESK-L1,A568CAD241BC11E1971910000000C959,A568CAD241BC11E1971910000000C959,1479990517,UnClassified.Advice Given to User,CMDS,Card Management Decision System,Sue1 COLLIER,Information(s) demandée(s): premier fois jamais connecte a cette application .,"Amanda J BURTON, 13-Aug-2014 at 14:06: CMDS is slowly being evergreened into DB2/COBOL although there are still FOCUS components.The Fraud components may be niche due to UK high volumes but the ATM and MI functions are non-strategic.Although business critical to the UK Bank, CMDS is considered a legacy, non-strategic application, which runs on a non-standard code base (FOCUS). Long term strategic replacement of the Cash Management, Self-service reporting, Fraud and MI functional sub-",Nov-2016
IN31506573,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479991317,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31506759,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1479992192,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31507322,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1479994121,Security.Account Reset,HUBHKE,HUB Sales Solutions,Sumit KALE,,FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31509390,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1479999710,Batch Completed,CMDS,Card Management Decision System,Sue1 COLLIER,GCC : EQQE036I JOB L C M S C L D 5 ENDED with error CODE U3E7,"Amanda J BURTON, 13-Aug-2014 at 14:06: CMDS is slowly being evergreened into DB2/COBOL although there are still FOCUS components.The Fraud components may be niche due to UK high volumes but the ATM and MI functions are non-strategic.Although business critical to the UK Bank, CMDS is considered a legacy, non-strategic application, which runs on a non-standard code base (FOCUS). Long term strategic replacement of the Cash Management, Self-service reporting, Fraud and MI functional sub-",Nov-2016
IN31509855,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480001634,Procedures reviewed and updated,BUSINESS-INTELLIGENCE-DELIVERY,DB2 Datamart,Kiran K SAMUDRALA,,-,Nov-2016
IN31509855,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480001634,Procedures reviewed and updated,BUSINESS-INTELLIGENCE-DELIVERY,GIS European Cognos Point of Presence,Manas SHIT,,"43200955, 27-Nov-2015 at 11:54: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31509907,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480001824,Assisted User,BUSINESS-INTELLIGENCE-DELIVERY,DB2 Datamart,Kiran K SAMUDRALA,,-,Nov-2016
IN31509907,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480001824,Assisted User,BUSINESS-INTELLIGENCE-DELIVERY,GIS European Cognos Point of Presence,Manas SHIT,,"43200955, 27-Nov-2015 at 11:54: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31510482,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1480004080,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31510721,Priority-3,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1480005333,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31510830,Priority-5,HBMX-RISK-RTB-Infosys,A6B6721EB97511E59BCE862C495A4502,A6B6721EB97511E59BCE862C495A4502,1480005811,Processing.File Restored,RTB HBMX HBMX SAS,SAS MX,Ruben SOTELO,,"Araceli PEREZV, 09-Dec-2016 at 07:18: complete35159718, 25-Jan-2016 at 18:22: Vendor packages reviewed - associated business software package software (BSP) created",Nov-2016
IN31511280,Priority-4,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1480008747,UnClassified.Advice Given to User,RDU,Report Distribution Utility,Sathyanarayanan SAMPATH,,"Investigate whether this functionality could be demised somehow - it would appear to have a high degree of overlap with other businesses, so maybe there are other solutions in this space.",Nov-2016
IN31511779,Priority-4,HBAR-SWD-RBWM-Data-Services,894204F984BC11E58E7310000000C957,894204F984BC11E58E7310000000C957,1480012740,UnClassified.Insufficient Evidence,EDWH-AR,Enterprise Data Warehouse AR,Patricia V BARROSO,Diferencia en plazo fijo,"12070768, 16-Dec-2015 at 13:30: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership deleted after central team analysis of primary functions",Nov-2016
IN31512315,Priority-3,HTSE-CDRM-DEV,EADB2CB3B1D411DF95B410000000C959,EADB2CB3B1D411DF95B410000000C959,1480017686,Unclassified Alert Ignored,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,GCC : EQQE036I JOB L D U C G J C L ENDED with error CODE JCL,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31513225,Priority-3,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1480026758,Unclassified Alert Investigated no Action,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,"GCC : EQQE036I OPC1 OPC JOB LDPSB270 ENDED WITH ERROR CODE U3E7

Job failed due to;
+DPS0000A DPSB1026-0000 GEN ERROR   ; UTILITY ID : C ; FUNC : S ; QUAL","Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31513273,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480027444,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHXCPAYC reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4iq4e (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31513276,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1480027447,Processing.Data fixed,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHSMBSC reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4ip41 (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
